date,Qobs,Qb_o_o,Qb_o_09,Qb_o_omedian,Qb_m_09,Qb_m_o,Qb_m_omedian,Qb_Af_09,Qb_Af_o,Qb_Af_omedian
1995-02-26,41.0648541489663,14.4718210138771,14.4718210138771,14.4718210138771,14.4718210138771,14.4718210138771,14.4718210138771,14.4718210138771,14.4718210138771,14.4718210138771
1995-02-27,35.6839422259983,14.6304163126593,14.6304163126593,14.6304163126593,14.6304163126593,14.6304163126593,14.6304163126593,14.6304163126593,14.6304163126593,14.6304163126593
1995-02-28,30.5862361937128,14.7890116114415,14.7890116114415,14.7890116114415,14.7890116114415,14.7890116114415,14.7890116114415,14.7890116114415,14.7890116114415,14.7890116114415
1995-03-01,27.1028037383178,14.9476069102237,14.9476069102237,14.9476069102237,14.9476069102237,14.9476069102237,14.9476069102237,14.9476069102237,14.9476069102237,14.9476069102237
1995-03-02,24.4123477768338,15.1062022090059,15.1062022090059,15.1062022090059,15.1062022090059,15.1062022090059,15.1062022090059,15.1062022090059,15.1062022090059,15.1062022090059
1995-03-03,22.4865477201926,15.2647975077882,15.2647975077882,15.2647975077882,15.2647975077882,15.2647975077882,15.2647975077882,15.2647975077882,15.2647975077882,15.2647975077882
1995-03-04,20.8722741433022,15.4233928065704,15.4233928065704,15.4233928065704,15.4233928065704,15.4233928065704,15.4233928065704,15.4233928065704,15.4233928065704,15.4233928065704
1995-03-05,19.28632115548,15.5819881053526,15.5819881053526,15.5819881053526,15.5819881053526,15.5819881053526,15.5819881053526,15.5819881053526,15.5819881053526,15.5819881053526
1995-03-06,17.7003681676579,15.7405834041348,15.7405834041348,15.7405834041348,15.7405834041348,15.7405834041348,15.7405834041348,15.7405834041348,15.7405834041348,15.7405834041348
1995-03-07,16.5675446049278,15.899178702917,15.899178702917,15.899178702917,15.899178702917,15.899178702917,15.899178702917,15.899178702917,15.899178702917,15.899178702917
1995-03-08,16.0577740016992,16.0577740016992,16.0577740016992,16.0577740016992,16.0577740016992,16.0577740016992,16.0577740016992,16.0577740016992,16.0577740016992,16.0577740016992
1995-03-09,24.5256301331068,16.1228064654856,16.195682957162,16.1228064654856,16.195682957162,16.1228064654856,16.1228064654856,16.195682957162,16.1228064654856,16.1228064654856
1995-03-10,39.9320305862362,16.1878389292719,16.3335919126248,16.1878389292719,16.3335919126248,16.1878389292719,16.1878389292719,16.3335919126248,16.1878389292719,16.1878389292719
1995-03-11,55.7915604644577,16.2528713930583,16.4715008680876,16.2528713930583,16.4715008680876,16.2528713930583,16.2528713930583,16.4715008680876,16.2528713930583,16.2528713930583
1995-03-12,54.0923251203625,16.3179038568447,16.6094098235504,16.3179038568447,16.6094098235504,16.3179038568447,16.3179038568447,16.6094098235504,16.3179038568447,16.3179038568447
1995-03-13,43.047295383744,16.382936320631,16.7473187790132,16.382936320631,16.7473187790132,16.382936320631,16.382936320631,16.7473187790132,16.382936320631,16.382936320631
1995-03-14,36.2503540073633,16.4479687844174,16.885227734476,16.4479687844174,16.885227734476,16.4479687844174,16.4479687844174,16.885227734476,16.4479687844174,16.4479687844174
1995-03-15,37.0999716794109,16.5130012482037,17.0231366899388,16.5130012482037,17.0231366899388,16.5130012482037,16.5130012482037,17.0231366899388,16.5130012482037,16.5130012482037
1995-03-16,37.9495893514585,16.5780337119901,17.1610456454016,16.5780337119901,17.1610456454016,16.5780337119901,16.5780337119901,17.1610456454016,16.5780337119901,16.5780337119901
1995-03-17,36.5335598980459,16.6430661757765,17.2989546008644,16.6430661757765,17.2989546008644,16.6430661757765,16.6430661757765,17.2989546008644,16.6430661757765,16.6430661757765
1995-03-18,34.8343245539507,16.7080986395628,17.4368635563272,16.7080986395628,17.4368635563272,16.7080986395628,16.7080986395628,17.4368635563272,16.7080986395628,16.7080986395628
1995-03-19,36.8167657887284,16.7731311033492,17.57477251179,16.7731311033492,17.57477251179,16.7731311033492,16.7731311033492,17.57477251179,16.7731311033492,16.7731311033492
1995-03-20,39.6488246955537,16.8381635671355,17.7126814672528,16.8381635671355,17.7126814672528,16.8381635671355,16.8381635671355,17.7126814672528,16.8381635671355,16.8381635671355
1995-03-21,43.3305012744265,16.9031960309219,17.8505904227156,16.9031960309219,17.8505904227156,16.9031960309219,16.9031960309219,17.8505904227156,16.9031960309219,16.9031960309219
1995-03-22,40.7816482582838,16.9682284947082,17.9884993781784,16.9682284947082,17.9884993781784,16.9682284947082,16.9682284947082,17.9884993781784,16.9682284947082,16.9682284947082
1995-03-23,37.666383460776,17.0332609584946,18.1264083336412,17.0332609584946,18.1264083336412,17.0332609584946,17.0332609584946,18.1264083336412,17.0332609584946,17.0332609584946
1995-03-24,33.4182951005381,17.098293422281,18.264317289104,17.098293422281,18.264317289104,17.098293422281,17.098293422281,18.264317289104,17.098293422281,17.098293422281
1995-03-25,29.4534126309827,17.1633258860673,18.4022262445668,17.1633258860673,18.4022262445668,17.1633258860673,17.1633258860673,18.4022262445668,17.1633258860673,17.1633258860673
1995-03-26,26.4514301897479,17.2283583498537,18.5401352000295,17.2283583498537,18.5401352000295,17.2283583498537,17.2283583498537,18.5401352000295,17.2283583498537,17.2283583498537
1995-03-27,24.1857830642877,17.29339081364,18.6780441554923,17.29339081364,18.6780441554923,17.29339081364,17.29339081364,18.6780441554923,17.29339081364,17.29339081364
1995-03-28,22.3166241857831,17.3584232774264,18.8159531109551,17.3584232774264,18.8159531109551,17.3584232774264,17.3584232774264,18.8159531109551,17.3584232774264,17.3584232774264
1995-03-29,21.0421976777117,17.4234557412127,18.9538620664179,17.4234557412127,18.9538620664179,17.4234557412127,17.4234557412127,18.9538620664179,17.4234557412127,17.4234557412127
1995-03-30,20.0509770603229,17.4884882049991,19.0917710218807,17.4884882049991,19.0917710218807,17.4884882049991,17.4884882049991,19.0917710218807,17.4884882049991,17.4884882049991
1995-03-31,19.2296799773435,17.5535206687855,19.2296799773435,17.5535206687855,19.2296799773435,17.5535206687855,17.5535206687855,19.2296799773435,17.5535206687855,17.5535206687855
